2-faced,farced_facet_fazed_faces_face
2-faces,facers_fauces_feces_facest_facets
abnormal,unusual_unexpected_irregular_exceptional_unnatural
abolish,prohibit_overturn_revoke_wipe out_suppress
abominable,abhorrent_wretched_terrible_atrocious_horrid
abominably,clumsily_awkwardly_poorly_carelessly_crudely
abominate,despise_dislike_hate_abhor_loathe
abomination,curse_horror_detestation_anathema_evil
abort,cut off_scrub_halt_scrap_terminate
aborted,cut off_scrub_halt_scrap_terminate
aborts,cut off_scrub_halt_scrap_terminate
abrade,chafe_erode_scuff_rub_wear
abrasive,biting_nasty_annoying_caustic_sharp
abrupt,blunt_brusque_crude_crusty_curt
abruptly,suddenly_unexpectedly_precipitously_all of a sudden_unanticipatedly
abscond,break_hightail_fade_skedaddle_get
absence,cut_vacancy_hooky_absenteeism_truancy
absent-minded,absent_absorbed_abstracted_careless_daydreaming
absentee,remote_absent_distant_oblivious
absurd,crazy_illogical_ludicrous_unreasonable_goofy
absurdity,silliness_farce_craziness_folly_foolishness
absurdly,stupidly_mistakenly_unwisely_imprudently_indiscreetly
absurdness,irrationality_silliness_craziness_lunacy_bunk
abuse,prostitution_crime_exploitation_misdeed_injustice
abused,harm_violate_maltreat_impair_corrupt
abuses,prostitution_crime_exploitation_misdeed_injustice
abusive,offensive_insulting_rude_censorious_defamatory
abysmal,bottomless_boundless_complete_deep_endless
abysmally,abyssal_abnormally_abysm_absurdly
abyss,void_depth_crevasse_chasm_gulf
accidental,unintended_incidental_unplanned_inadvertent_unforeseen
accost,confront_annoy_bother_welcome_cross
accursed,condemned_doomed_damned_done for_ill-fated
accusation,complaint_denunciation_allegation_indictment_insinuation
accusations,complaint_denunciation_allegation_indictment_insinuation
accuse,prosecute_sue_name_brand_summon
accuses,prosecute_sue_name_brand_summon
accusing,prosecute_sue_name_brand_summon
accusingly,amusingly_accursing_accordingly
acerbate,annoy_aggravate_disturb_provoke_perturb
acerbic,sharp_harsh_caustic_acidic_acrid
acerbically,acrimoniously_bitingly_caustically_maliciously_sneeringly
ache,soreness_twinge_pang_misery_anguish
ached,throb_pound_pain_twinge_hurt
aches,soreness_twinge_pang_misery_anguish
achey,achy_archer_ashy_ached_asher
aching,sore_nagging_tender_raw_smarting
acrid,pungent_stinging_acid_astringent_biting
acridly,acridity_crudely_acarid_acarids_adroitly
acridness,tartness_acerbity_causticity_pungency_sourness
acrimonious,rancorous_testy_belligerent_petulant_caustic
acrimoniously,acerbically_bitingly_caustically_maliciously_sneeringly
acrimony,animosity_ill will_belligerence_bitterness_rancor
adamant,uncompromising_stubborn_resolute_determined_intransigent
adamantly,strictly_stubbornly_resolutely_constantly_intently
addict,enthusiast_devotee_practitioner_fanatic_follower
addicted,devoted_obsessed_hooked_inclined_absorbed
addicting,perpetual_inveterate_chronic_repeated_addicted
addicts,enthusiast_devotee_practitioner_fanatic_follower
admonish,exhort_enjoin_scold_chide_berate
admonisher,monitor
admonishingly,admonition
admonishment,scolding_admonition_reprimand_reproof_reproach
admonition,advice_warning_counsel_forewarning_apprisal
adulterate,contaminate_shave_defile_dilute_mingle
adulterated,tainted_weakened_diluted_mixed_deteriorated
adulteration,deterioration_contamination_debauchment
adulterier,adulterers_adulterine_adultery
adversarial,antagonistic_adverse_antipathetic_opposed_adversative
adversary,enemy_competitor_foe_rival_attacker
adverse,inimical_conflicting_negative_unfriendly_detrimental
adversity,disaster_crunch_misfortune_hardship_sorrow
afflict,annoy_torture_bother_wound_oppress
affliction,illness_pain_hardship_sickness_scourge
afflictive,aching_achy_agonizing_distressing_excruciating
affront,indignity_provocation_slight_slur_slap
afraid,timid_nervous_scared_suspicious_apprehensive
aggravate,bother_provoke_irritate_pester_needle
aggravating,bother_provoke_irritate_pester_needle
aggravation,irritation_pain_distress_hang-up_bother
aggression,raid_onslaught_encroachment_offensive_assault
aggressive,contentious_intrusive_combative_threatening_destructive
aggressiveness,combativeness_militance_hostility_belligerence_offensive
aggressor,trespasser_assailant_invader_intruder_instigator
aggrieve,oppress_abuse_afflict
aggrieved,oppressed_disturbed_injured_peeved_harmed
aggrivation,aggregation_activation_aggravating
aghast,stunned_agog_shocked_anxious_afraid
agonies,torture_torment_misery_woe_passion
agonize,disturb_lament_harrow_excruciate_crucify
agonizing,tortuous_harrowing_intense_excruciating_tormenting
agonizingly,badly_vigorously_severely_awkwardly_carefully
agony,torture_torment_misery_woe_passion
aground,wrecked_ashore_stranded_beached_disabled
ail,bother_afflict_annoy_pain_distress
